source,page,url,date,sentence_id,sentence
everlane_web,cleaner-fashion,https://www.everlane.com/pages/cleaner-fashion,2026-05-19,0,SUSTAINABILITY ICONS
everlane_web,cleaner-fashion,https://www.everlane.com/pages/cleaner-fashion,2026-05-19,1,Cleaner Fashion
everlane_web,cleaner-fashion,https://www.everlane.com/pages/cleaner-fashion,2026-05-19,2,"At Everlane, we carefully consider our materials and work with our production partners to reduce waste, minimize natural resource use, and remove harmful chemicals and plastics."
everlane_web,cleaner-fashion,https://www.everlane.com/pages/cleaner-fashion,2026-05-19,3,"To share the sustainability efforts behind each of our products, we created these 10 icons and placed them on relevant pages throughout our site, so you can follow along on our journey to clean up the industry."
everlane_web,cleaner-fashion,https://www.everlane.com/pages/cleaner-fashion,2026-05-19,4,Organic Cotton
everlane_web,cleaner-fashion,https://www.everlane.com/pages/cleaner-fashion,2026-05-19,5,"Currently, over 75% of our cotton use is certified organic."
everlane_web,cleaner-fashion,https://www.everlane.com/pages/cleaner-fashion,2026-05-19,6,"Using organic cotton means cleaner and lower water usage, lower pesticide use, healthier soil, and a safer working environment for cotton farmers, compared to conventional cotton production."
everlane_web,cleaner-fashion,https://www.everlane.com/pages/cleaner-fashion,2026-05-19,7,We utilize Textile Exchange's Organic Content Standard (OCS) and other leading industry organic manufacturing standards to certify applicable products from farm to finished garment.
everlane_web,cleaner-fashion,https://www.everlane.com/pages/cleaner-fashion,2026-05-19,8,SHOP NOW
everlane_web,cleaner-fashion,https://www.everlane.com/pages/cleaner-fashion,2026-05-19,9,Cleaner Cotton
everlane_web,cleaner-fashion,https://www.everlane.com/pages/cleaner-fashion,2026-05-19,10,"Because of organic cotton’s scarcity, we began exploring other innovative alternatives to conventional cotton."
everlane_web,cleaner-fashion,https://www.everlane.com/pages/cleaner-fashion,2026-05-19,11,"Styles marked with this icon contain regenerative organic cotton, regenerative cotton, in-conversion organic cotton, or recycled cotton—all of which are in greater supply and still have reduced chemical, water-use, and emissions impact on the planet, compared to conventional cotton."
everlane_web,cleaner-fashion,https://www.everlane.com/pages/cleaner-fashion,2026-05-19,12,Renewed Materials
everlane_web,cleaner-fashion,https://www.everlane.com/pages/cleaner-fashion,2026-05-19,13,Styles marked with this icon utilize at least 50% recycled content.
everlane_web,cleaner-fashion,https://www.everlane.com/pages/cleaner-fashion,2026-05-19,14,"Wherever we can, we use recycled materials to lower our carbon footprint and reduce waste."
everlane_web,cleaner-fashion,https://www.everlane.com/pages/cleaner-fashion,2026-05-19,15,"Currently, 97% of the polyester and nylon we use comes from certified recycled sources."
everlane_web,cleaner-fashion,https://www.everlane.com/pages/cleaner-fashion,2026-05-19,16,"Using recycled materials repurposes resources, reduces inputs, and diverts would-be-waste materials away from landfills."
everlane_web,cleaner-fashion,https://www.everlane.com/pages/cleaner-fashion,2026-05-19,17,Reduced Water Usage
everlane_web,cleaner-fashion,https://www.everlane.com/pages/cleaner-fashion,2026-05-19,18,"Styles marked with this icon use innovative water-saving production techniques, including water reduction, water recycling and reuse, and wastewater capture and treatment."
everlane_web,cleaner-fashion,https://www.everlane.com/pages/cleaner-fashion,2026-05-19,19,"Our partner factories drastically reduce their consumption by capturing, purifying, and reusing the water from dye and wash processes."
everlane_web,cleaner-fashion,https://www.everlane.com/pages/cleaner-fashion,2026-05-19,20,Cleaner Chemistry
everlane_web,cleaner-fashion,https://www.everlane.com/pages/cleaner-fashion,2026-05-19,21,"To manage the chemicals used in our global supply chain, styles marked with this icon incorporate either bluesign®, GOTS, or GRS restricted-substance standards, all of which maintain restricted substance lists (RSLs) of harmful chemicals that are not permitted in the processing of our garments."
everlane_web,cleaner-fashion,https://www.everlane.com/pages/cleaner-fashion,2026-05-19,22,Cleaner Leather
everlane_web,cleaner-fashion,https://www.everlane.com/pages/cleaner-fashion,2026-05-19,23,Styles marked with this icon are sourced from a tannery rated Gold or Silver by the Leather Working Group (LWG)—the highest ratings a tannery can receive for demonstrating best practices in environmental compliance and performance capabilities.
everlane_web,cleaner-fashion,https://www.everlane.com/pages/cleaner-fashion,2026-05-19,24,Bio-Based “Leather”
everlane_web,cleaner-fashion,https://www.everlane.com/pages/cleaner-fashion,2026-05-19,25,"Styles marked with this icon are made with innovative next-gen materials from bio-based alternatives like cactus, mushrooms, and biofabricated plant oils, which combine the quality of traditional leather craftsmanship with a lower environmental footprint, compared to virgin animal leather."
everlane_web,cleaner-fashion,https://www.everlane.com/pages/cleaner-fashion,2026-05-19,26,Animal Welfare
everlane_web,cleaner-fashion,https://www.everlane.com/pages/cleaner-fashion,2026-05-19,27,"Certified by the Responsible Wool Standard and Responsible Alpaca Standard respectively, the wool or alpaca in styles marked with this icon is sourced from a farm that follows the 12 Provisions of Animal Welfare Quality."
everlane_web,cleaner-fashion,https://www.everlane.com/pages/cleaner-fashion,2026-05-19,28,"This ensures all animals are treated humanely and maintains a strong chain of custody for garments as they move through the supply chain to guarantee visibility as well as protect soil health, biodiversity, and native species on farms."
